_id,Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
14593,2023-01-01T00:00,1.935,2.955,6.356,9.524,90.56,25.660
14594,2023-01-01T00:30,1.935,2.817,6.333,11.111,95.49,25.660
14595,2023-01-01T01:00,1.769,3.137,5.926,10.526,112.19,25.660
14596,2023-01-01T01:30,1.838,3.504,6.298,11.111,103.84,25.610
14597,2023-01-01T02:00,1.789,3.332,6.199,10.526,79.84,25.610
14598,2023-01-01T02:30,1.777,3.204,6.330,11.765,81.42,25.610
14599,2023-01-01T03:00,1.942,3.234,6.817,11.111,92.32,25.660
14600,2023-01-01T03:30,1.897,3.105,6.298,11.111,90.30,25.610
14601,2023-01-01T04:00,1.849,2.971,6.433,11.111,87.66,25.610
14602,2023-01-01T04:30,1.921,3.030,6.573,11.111,93.38,25.560
14603,2023-01-01T05:00,2.061,3.270,6.596,11.111,95.75,25.560
14604,2023-01-01T05:30,1.874,3.678,5.436,11.111,95.31,25.560
14605,2023-01-01T06:00,1.888,3.040,6.463,11.111,95.22,25.520
14606,2023-01-01T06:30,2.034,3.581,6.481,11.765,97.86,25.520
14607,2023-01-01T07:00,1.958,3.323,6.783,10.526,87.75,25.470
14608,2023-01-01T07:30,1.932,3.276,6.410,10.526,89.42,25.470
14609,2023-01-01T08:00,2.165,3.786,7.148,10.526,90.74,25.420
14610,2023-01-01T08:30,-99.9,-99.9,-99.9,-99.9,97.07,25.420
14611,2023-01-01T09:00,-99.9,-99.9,-99.9,-99.9,89.68,25.420
14612,2023-01-01T09:30,-99.9,-99.9,-99.9,-99.9,87.13,25.420
14613,2023-01-01T10:00,-99.9,-99.9,-99.9,-99.9,76.15,25.470
14614,2023-01-01T10:30,-99.9,-99.9,-99.9,-99.9,94.96,25.470
14615,2023-01-01T11:00,-99.9,-99.9,-99.9,-99.9,91.09,25.520
14616,2023-01-01T11:30,-99.9,-99.9,-99.9,-99.9,86.78,25.560
14617,2023-01-01T12:00,-99.9,-99.9,-99.9,-99.9,90.21,25.560
14618,2023-01-01T12:30,-99.9,-99.9,-99.9,-99.9,86.87,25.610
14619,2023-01-01T13:00,-99.9,-99.9,-99.9,-99.9,90.47,25.660
14620,2023-01-01T13:30,-99.9,-99.9,-99.9,-99.9,82.91,25.660
14621,2023-01-01T14:00,-99.9,-99.9,-99.9,-99.9,89.95,25.700
14622,2023-01-01T14:30,-99.9,-99.9,-99.9,-99.9,83.53,25.660
14623,2023-01-01T15:00,2.207,3.840,7.189,10.526,91.18,25.700
14624,2023-01-01T15:30,2.150,3.208,7.068,10.000,97.60,25.700
14625,2023-01-01T16:00,2.200,3.554,7.375,11.111,89.60,25.750
14626,2023-01-01T16:30,2.090,3.361,6.859,10.000,76.85,25.750
14627,2023-01-01T17:00,2.227,3.050,7.220,10.526,87.22,25.750
14628,2023-01-01T17:30,2.309,3.396,7.007,10.526,80.63,25.700
14629,2023-01-01T18:00,2.134,3.235,6.761,10.000,86.34,25.700
14630,2023-01-01T18:30,2.192,3.489,6.852,10.526,87.93,25.660
14631,2023-01-01T19:00,2.307,3.469,7.214,11.111,93.82,25.660
14632,2023-01-01T19:30,2.198,3.809,6.746,10.526,88.80,25.750
14633,2023-01-01T20:00,2.072,3.301,6.589,10.526,90.65,25.700
14634,2023-01-01T20:30,2.175,3.496,6.452,10.526,86.43,25.660
14635,2023-01-01T21:00,2.013,3.226,6.361,10.526,87.75,25.610
14636,2023-01-01T21:30,1.969,3.203,6.131,10.526,89.77,25.610
14637,2023-01-01T22:00,1.960,3.442,6.014,10.000,94.96,25.560
14638,2023-01-01T22:30,1.884,3.344,6.065,11.111,92.15,25.560
14639,2023-01-01T23:00,1.882,3.140,6.358,11.111,89.60,25.560
14640,2023-01-01T23:30,1.849,3.650,6.040,11.111,91.79,25.610
14641,2023-01-02T00:00,1.913,3.510,6.236,11.111,89.24,25.610
14642,2023-01-02T00:30,1.862,3.587,6.320,9.524,98.83,25.610
14643,2023-01-02T01:00,1.903,2.749,6.665,11.111,84.06,25.560
14644,2023-01-02T01:30,2.040,3.646,6.548,11.111,79.93,25.560
14645,2023-01-02T02:00,1.943,2.945,6.715,11.111,85.38,25.520
